Instancia,Inicial,Iteraciones,ItEfectivas,CantMemoria,PorcentajeVecindad,Aspirar,Tabu,Algoritmo,Time,Impacto,Optimo,N,Gap
CMI_n20.in,S-LF,500,500,5,15,False,TSS-E,TSS-E-S-LF,5650.64,11,25,20,0.56
CMI_n20.in,S-LF,500,20,20,15,True,TSS-E,TSS-E-S-LF,279.53499999999997,11,25,20,0.56
CMI_n20.in,S-LF,500,20,20,15,False,TSS-E,TSS-E-S-LF,346.889,11,25,20,0.56
CMI_n20.in,S-LF,500,20,35,15,True,TSS-E,TSS-E-S-LF,285.534,11,25,20,0.56
CMI_n20.in,S-LF,500,20,35,15,False,TSS-E,TSS-E-S-LF,295.919,11,25,20,0.56
CMI_n20.in,S-LF,500,20,50,15,True,TSS-E,TSS-E-S-LF,1034.18,11,25,20,0.56
CMI_n20.in,S-LF,500,20,50,15,False,TSS-E,TSS-E-S-LF,330.369,11,25,20,0.56
CMI_n20.in,S-LF,500,20,100,15,True,TSS-E,TSS-E-S-LF,288.057,11,25,20,0.56
CMI_n20.in,S-LF,500,20,100,15,False,TSS-E,TSS-E-S-LF,283.859,11,25,20,0.56
CMI_n20.in,S-LF,500,20,200,15,True,TSS-E,TSS-E-S-LF,305.21999999999997,11,25,20,0.56
CMI_n20.in,S-LF,500,20,200,15,False,TSS-E,TSS-E-S-LF,442.42900000000003,11,25,20,0.56
CMI_n20.in,S-LF,500,20,300,15,True,TSS-E,TSS-E-S-LF,341.422,11,25,20,0.56
CMI_n20.in,S-LF,500,20,300,15,False,TSS-E,TSS-E-S-LF,335.229,11,25,20,0.56
CMI_n20.in,S-LF,500,20,400,15,True,TSS-E,TSS-E-S-LF,333.05,11,25,20,0.56
CMI_n20.in,S-LF,500,20,400,15,False,TSS-E,TSS-E-S-LF,332.28799999999995,11,25,20,0.56
CMI_n20.in,S-LF,500,20,500,15,True,TSS-E,TSS-E-S-LF,328.129,11,25,20,0.56
CMI_n20.in,S-LF,500,20,500,15,False,TSS-E,TSS-E-S-LF,392.99899999999997,11,25,20,0.56
CMI_n20.in,S-LF,700,700,5,15,True,TSS-E,TSS-E-S-LF,8397.25,11,25,20,0.56
CMI_n20.in,S-LF,700,700,5,15,False,TSS-E,TSS-E-S-LF,7442.09,11,25,20,0.56
CMI_n20.in,S-LF,700,20,20,15,True,TSS-E,TSS-E-S-LF,385.467,11,25,20,0.56
CMI_n20.in,S-LF,700,20,20,15,False,TSS-E,TSS-E-S-LF,351.52299999999997,11,25,20,0.56
CMI_n20.in,S-LF,700,20,35,15,True,TSS-E,TSS-E-S-LF,278.885,11,25,20,0.56
CMI_n20.in,S-LF,700,20,35,15,False,TSS-E,TSS-E-S-LF,356.36,11,25,20,0.56
CMI_n20.in,S-LF,700,20,50,15,True,TSS-E,TSS-E-S-LF,281.606,11,25,20,0.56
CMI_n20.in,S-LF,700,20,50,15,False,TSS-E,TSS-E-S-LF,267.67400000000004,11,25,20,0.56
CMI_n20.in,S-LF,700,20,100,15,True,TSS-E,TSS-E-S-LF,343.255,11,25,20,0.56
CMI_n20.in,S-LF,700,20,100,15,False,TSS-E,TSS-E-S-LF,317.454,11,25,20,0.56
CMI_n20.in,S-LF,700,20,200,15,True,TSS-E,TSS-E-S-LF,303.86800000000005,11,25,20,0.56
CMI_n20.in,S-LF,700,20,200,15,False,TSS-E,TSS-E-S-LF,339.428,11,25,20,0.56
CMI_n20.in,S-LF,700,20,300,15,True,TSS-E,TSS-E-S-LF,367.747,11,25,20,0.56
CMI_n20.in,S-LF,700,20,300,15,False,TSS-E,TSS-E-S-LF,344.071,11,25,20,0.56
CMI_n20.in,S-LF,700,20,400,15,True,TSS-E,TSS-E-S-LF,324.84000000000003,11,25,20,0.56
CMI_n20.in,S-LF,700,20,400,15,False,TSS-E,TSS-E-S-LF,304.267,11,25,20,0.56
CMI_n20.in,S-LF,700,20,500,15,True,TSS-E,TSS-E-S-LF,332.369,11,25,20,0.56
CMI_n20.in,S-LF,700,20,500,15,False,TSS-E,TSS-E-S-LF,315.479,11,25,20,0.56
CMI_n20.in,S-LF,100,100,5,20,True,TSS-E,TSS-E-S-LF,1208.6699999999998,11,25,20,0.56
CMI_n20.in,S-LF,100,100,5,20,False,TSS-E,TSS-E-S-LF,1219.41,11,25,20,0.56
CMI_n20.in,S-LF,100,24,20,20,True,TSS-E,TSS-E-S-LF,382.268,11,25,20,0.56
CMI_n20.in,S-LF,100,24,20,20,False,TSS-E,TSS-E-S-LF,343.02500000000003,11,25,20,0.56
CMI_n20.in,S-LF,100,24,35,20,True,TSS-E,TSS-E-S-LF,332.207,11,25,20,0.56
CMI_n20.in,S-LF,100,24,35,20,False,TSS-E,TSS-E-S-LF,363.239,11,25,20,0.56
CMI_n20.in,S-LF,100,24,50,20,True,TSS-E,TSS-E-S-LF,450.14300000000003,11,25,20,0.56
CMI_n20.in,S-LF,100,24,50,20,False,TSS-E,TSS-E-S-LF,382.709,11,25,20,0.56
CMI_n20.in,S-LF,100,24,100,20,True,TSS-E,TSS-E-S-LF,363.405,11,25,20,0.56
CMI_n20.in,S-LF,100,24,100,20,False,TSS-E,TSS-E-S-LF,397.71099999999996,11,25,20,0.56
